GEO.id,GEO.id2,GEO.display-label,B21001_001E,B21001_001M,B21001_002E,B21001_002M,B21001_003E,B21001_003M,B21001_004E,B21001_004M,B21001_005E,B21001_005M,B21001_006E,B21001_006M,B21001_007E,B21001_007M,B21001_008E,B21001_008M,B21001_009E,B21001_009M,B21001_010E,B21001_010M,B21001_011E,B21001_011M,B21001_012E,B21001_012M,B21001_013E,B21001_013M,B21001_014E,B21001_014M,B21001_015E,B21001_015M,B21001_016E,B21001_016M,B21001_017E,B21001_017M,B21001_018E,B21001_018M,B21001_019E,B21001_019M,B21001_020E,B21001_020M,B21001_021E,B21001_021M,B21001_022E,B21001_022M,B21001_023E,B21001_023M,B21001_024E,B21001_024M,B21001_025E,B21001_025M,B21001_026E,B21001_026M,B21001_027E,B21001_027M,B21001_028E,B21001_028M,B21001_029E,B21001_029M,B21001_030E,B21001_030M,B21001_031E,B21001_031M,B21001_032E,B21001_032M,B21001_033E,B21001_033M,B21001_034E,B21001_034M,B21001_035E,B21001_035M,B21001_036E,B21001_036M,B21001_037E,B21001_037M,B21001_038E,B21001_038M,B21001_039E,B21001_039M
0600000US0901337910,0901337910,"Hebron town, Tolland County, Connecticut",7363,151,545,125,6818,163,3692,168,516,124,3176,193,892,140,8,13,884,138,1335,117,148,81,1187,121,846,110,85,42,761,107,392,75,143,49,249,70,227,71,132,78,95,46,3671,122,29,20,3642,125,705,116,0,17,705,116,1436,133,0,17,1436,133,729,116,20,19,709,117,443,100,0,17,443,100,358,87,9,12,349,86
0600000US0900934950,0900934950,"Guilford town, New Haven County, Connecticut",17426,245,1341,194,16085,301,8683,349,1284,182,7399,355,1783,241,37,42,1746,237,2579,229,256,103,2323,221,1914,221,106,64,1808,227,1460,186,399,111,1061,177,947,171,486,139,461,129,8743,305,57,42,8686,306,1378,198,13,21,1365,196,2818,244,13,21,2805,246,1883,201,31,29,1852,203,1695,183,0,23,1695,183,969,186,0,23,969,186
0600000US0900308490,0900308490,"Bristol town, Hartford County, Connecticut",47666,681,3286,358,44380,785,23277,655,3074,339,20203,677,6880,559,91,84,6789,559,7993,480,642,175,7351,517,4326,304,535,159,3791,316,2325,229,888,155,1437,203,1753,209,918,175,835,166,24389,565,212,96,24177,584,6705,499,48,48,6657,503,7982,432,56,47,7926,437,4248,348,57,47,4191,353,2598,305,0,29,2598,305,2856,270,51,43,2805,270
0600000US0900537280,0900537280,"Harwinton town, Litchfield County, Connecticut",4273,156,363,94,3910,179,2196,139,346,93,1850,148,389,106,14,21,375,103,756,103,22,24,734,102,443,87,32,25,411,83,353,69,162,67,191,52,255,64,116,46,139,61,2077,117,17,20,2060,114,344,102,0,17,344,102,716,109,7,13,709,107,471,82,10,16,461,85,322,63,0,17,322,63,224,62,0,17,224,62
0600000US0900980070,0900980070,"Waterbury town, New Haven County, Connecticut",81234,947,3374,412,77860,948,37815,837,2972,347,34843,896,13290,749,295,129,12995,763,12846,714,561,167,12285,706,6021,537,540,135,5481,514,3463,327,742,156,2721,318,2195,236,834,139,1361,193,43419,838,402,156,43017,816,13634,763,66,63,13568,767,14793,762,173,95,14620,751,6542,496,126,96,6416,483,3907,344,29,25,3878,343,4543,414,8,12,4535,413
0600000US0900325990,0900325990,"Enfield town, Hartford County, Connecticut",35942,329,2967,328,32975,448,19144,495,2808,309,16336,529,6370,443,208,111,6162,427,6689,390,560,170,6129,373,3067,251,575,157,2492,227,1561,178,500,106,1061,158,1457,170,965,145,492,113,16798,435,159,58,16639,448,4335,336,22,26,4313,338,5436,332,67,47,5369,335,2981,270,42,29,2939,270,1878,162,23,20,1855,163,2168,227,5,10,2163,225
0600000US0900305910,0900305910,"Bloomfield town, Hartford County, Connecticut",17917,374,1160,206,16757,404,8048,356,1075,198,6973,341,2118,302,38,39,2080,310,2094,310,160,100,1934,295,1662,256,191,92,1471,241,1115,191,254,108,861,190,1059,201,432,117,627,156,9869,400,85,67,9784,399,1931,296,26,39,1905,298,2421,289,0,23,2421,289,2108,241,12,21,2096,243,1430,232,20,30,1410,229,1979,269,27,28,1952,268
0600000US0900302060,0900302060,"Avon town, Hartford County, Connecticut",13706,259,826,167,12880,286,6337,259,802,167,5535,265,925,178,10,15,915,177,2479,172,125,78,2354,178,1375,205,69,48,1306,206,792,149,186,88,606,148,766,162,412,120,354,139,7369,223,24,28,7345,226,995,187,0,19,995,187,2713,191,0,19,2713,191,1395,201,0,19,1395,201,1221,166,24,28,1197,165,1045,184,0,19,1045,184
0600000US0901142390,0901142390,"Lebanon town, New London County, Connecticut",5799,123,563,144,5236,171,2875,164,500,139,2375,204,559,146,51,51,508,143,992,206,7,14,985,204,698,133,166,85,532,133,415,98,114,71,301,95,211,92,162,75,49,45,2924,142,63,69,2861,152,634,177,28,45,606,178,977,169,0,17,977,169,694,126,21,34,673,131,439,99,14,21,425,100,180,80,0,17,180,80
0600000US0901306260,0901306260,"Bolton town, Tolland County, Connecticut",3868,98,306,62,3562,122,1863,121,301,62,1562,136,461,115,0,12,461,115,609,103,40,41,569,97,381,62,44,31,337,62,245,53,142,42,103,39,167,57,75,32,92,58,2005,121,5,9,2000,123,364,114,5,9,359,115,718,81,0,12,718,81,380,70,0,12,380,70,400,87,0,12,400,87,143,50,0,12,143,50
0600000US0901155500,0901155500,"North Stonington town, New London County, Connecticut",4088,252,558,124,3530,224,2110,194,557,124,1553,181,295,101,0,17,295,101,717,132,81,60,636,122,513,116,119,66,394,112,308,98,143,73,165,87,277,99,214,92,63,44,1978,159,1,2,1977,159,401,136,0,17,401,136,673,110,1,2,672,110,429,101,0,17,429,101,293,101,0,17,293,101,182,89,0,17,182,89
0600000US0900949950,0900949950,"Naugatuck town, New Haven County, Connecticut",24554,513,1804,248,22750,540,12290,605,1576,228,10714,599,3567,515,105,75,3462,517,4699,407,337,101,4362,409,2005,279,389,159,1616,244,1214,182,426,115,788,171,805,181,319,104,486,134,12264,519,228,124,12036,500,2885,410,0,26,2885,410,4545,361,99,75,4446,347,2047,298,38,63,2009,283,1558,245,44,42,1514,240,1229,241,47,58,1182,235
0600000US0900575730,0900575730,"Thomaston town, Litchfield County, Connecticut",6086,156,400,109,5686,180,3080,178,337,93,2743,198,874,169,22,25,852,167,1023,135,42,40,981,140,645,123,88,61,557,118,347,94,84,44,263,90,191,60,101,43,90,45,3006,152,63,43,2943,158,629,115,21,34,608,114,1000,124,25,27,975,124,605,138,0,17,605,138,464,103,7,11,457,106,308,79,10,16,298,79
0600000US0900337140,0900337140,"Hartland town, Hartford County, Connecticut",1624,109,160,40,1464,99,816,70,138,38,678,64,164,42,0,12,164,42,236,57,26,30,210,49,222,43,11,11,211,43,120,24,52,18,68,22,74,24,49,18,25,19,808,65,22,13,786,63,107,26,0,12,107,26,321,51,16,13,305,51,218,37,0,12,218,37,93,25,6,8,87,23,69,23,0,12,69,23
0600000US0901325360,0901325360,"Ellington town, Tolland County, Connecticut",12531,318,1156,276,11375,358,6429,368,1078,267,5351,360,1616,338,119,81,1497,345,2695,354,225,148,2470,317,1129,258,212,117,917,243,637,178,306,144,331,134,352,130,216,115,136,83,6102,339,78,77,6024,341,1321,298,0,19,1321,298,2524,278,78,77,2446,271,1106,181,0,19,1106,181,615,155,0,19,615,155,536,144,0,19,536,144
0600000US0900173070,0900173070,"Stamford town, Fairfield County, Connecticut",102430,898,3389,362,99041,927,49938,949,3170,346,46768,978,16866,961,166,90,16700,977,17376,570,389,126,16987,582,7690,506,296,121,7394,506,4724,395,924,215,3800,364,3282,319,1395,182,1887,302,52492,894,219,111,52273,902,15911,896,78,89,15833,881,17729,656,51,49,17678,665,8313,548,55,43,8258,549,5442,388,18,22,5424,386,5097,409,17,20,5080,411
0600000US0900163970,0900163970,"Ridgefield town, Fairfield County, Connecticut",17982,327,923,172,17059,363,8676,299,874,161,7802,306,1229,249,5,7,1224,249,3667,233,124,80,3543,255,1835,191,63,43,1772,187,1045,180,212,88,833,160,900,153,470,133,430,116,9306,271,49,41,9257,268,1180,213,10,15,1170,211,3818,222,0,23,3818,222,1992,234,39,38,1953,229,1247,152,0,23,1247,152,1069,146,0,23,1069,146
0600000US0900978740,0900978740,"Wallingford town, New Haven County, Connecticut",37623,458,2796,277,34827,556,17080,471,2695,271,14385,527,3731,329,92,49,3639,334,5934,362,398,116,5536,340,3520,346,301,108,3219,338,2246,228,791,168,1455,239,1649,203,1113,168,536,131,20543,508,101,59,20442,518,4577,441,34,43,4543,442,6460,439,17,18,6443,441,3892,292,19,30,3873,284,2661,234,8,14,2653,234,2953,306,23,26,2930,307
0600000US0900962290,0900962290,"Prospect town, New Haven County, Connecticut",7738,166,688,150,7050,248,3818,222,626,138,3192,252,994,229,3,9,991,231,1131,144,112,72,1019,139,913,155,118,60,795,157,453,100,262,89,191,76,327,95,131,66,196,81,3920,223,62,63,3858,254,680,182,0,17,680,182,1355,148,37,58,1318,159,768,139,18,27,750,142,648,136,7,12,641,136,469,116,0,17,469,116
0600000US0900384900,0900384900,"Wethersfield town, Hartford County, Connecticut",21225,216,1383,206,19842,278,9368,362,1338,198,8030,388,2297,297,64,46,2233,300,3225,275,239,115,2986,274,1739,214,185,73,1554,205,1064,169,396,101,668,138,1043,167,454,137,589,141,11857,349,45,34,11812,355,2561,376,0,23,2561,376,3917,241,5,9,3912,242,2189,210,18,20,2171,214,1413,249,0,23,1413,249,1777,243,22,27,1755,237
0600000US0900935650,0900935650,"Hamden town, New Haven County, Connecticut",50465,517,2398,290,48067,596,23378,613,2261,290,21117,698,8819,626,240,150,8579,627,6502,496,318,143,6184,491,3942,343,188,99,3754,330,2193,230,634,161,1559,215,1922,229,881,148,1041,205,27087,658,137,68,26950,672,9717,728,19,23,9698,726,7203,461,23,37,7180,465,4561,393,35,42,4526,391,2752,295,20,23,2732,294,2854,295,40,35,2814,295
0600000US0900720810,0900720810,"Durham town, Middlesex County, Connecticut",5792,204,288,99,5504,219,2864,142,288,99,2576,149,607,162,0,17,607,162,1047,172,12,22,1035,169,656,165,79,63,577,147,400,96,103,54,297,92,154,68,94,50,60,42,2928,161,0,17,2928,161,571,136,0,17,571,136,1060,142,0,17,1060,142,618,117,0,17,618,117,433,77,0,17,433,77,246,92,0,17,246,92
0600000US0900322070,0900322070,"East Granby town, Hartford County, Connecticut",3931,161,333,112,3598,159,1784,151,333,112,1451,176,297,126,0,17,297,126,590,139,105,76,485,130,479,131,69,65,410,129,289,102,66,60,223,92,129,59,93,55,36,28,2147,141,0,17,2147,141,378,116,0,17,378,116,877,149,0,17,877,149,388,135,0,17,388,135,245,90,0,17,245,90,259,80,0,17,259,80
0600000US0901166210,0901166210,"Salem town, New London County, Connecticut",3176,159,395,99,2781,206,1614,105,385,92,1229,151,448,81,62,54,386,94,538,90,101,55,437,79,313,73,83,40,230,71,234,60,81,40,153,58,81,39,58,34,23,20,1562,105,10,16,1552,106,391,84,0,12,391,84,477,87,10,16,467,87,324,91,0,12,324,91,303,61,0,12,303,61,67,40,0,12,67,40
0600000US0900365370,0900365370,"Rocky Hill town, Hartford County, Connecticut",16672,349,1061,352,15611,441,7714,407,1009,360,6705,402,2167,288,20,27,2147,291,2374,313,97,73,2277,294,1321,230,199,155,1122,201,1251,189,344,135,907,167,601,158,349,145,252,106,8958,382,52,46,8906,376,2497,338,0,23,2497,338,2449,263,26,34,2423,262,1671,242,14,26,1657,240,1253,197,12,20,1241,198,1088,228,0,23,1088,228
0600000US0900532290,0900532290,"Goshen town, Litchfield County, Connecticut",2351,103,258,77,2093,111,1149,83,233,67,916,97,193,72,9,15,184,71,377,65,35,27,342,64,278,70,27,24,251,64,231,63,109,49,122,52,70,34,53,31,17,15,1202,88,25,22,1177,88,185,76,0,12,185,76,400,55,10,15,390,54,314,63,5,8,309,63,220,58,10,15,210,55,83,43,0,12,83,43
0600000US0900901220,0900901220,"Ansonia town, New Haven County, Connecticut",14865,409,995,216,13870,442,7046,437,967,213,6079,473,2076,375,0,19,2076,375,2645,275,172,89,2473,284,1014,176,139,87,875,158,783,185,307,127,476,156,528,140,349,114,179,80,7819,348,28,32,7791,343,1875,307,11,18,1864,304,2711,326,0,19,2711,326,1508,254,0,19,1508,254,820,205,17,27,803,199,905,172,0,19,905,172
0600000US0900322630,0900322630,"East Hartford town, Hartford County, Connecticut",39554,647,2308,292,37246,698,19261,666,2141,268,17120,697,6857,560,153,95,6704,568,6765,472,380,131,6385,477,2780,262,392,123,2388,274,1584,210,497,97,1087,188,1275,188,719,118,556,142,20293,641,167,77,20126,627,5530,466,23,21,5507,461,7188,448,67,52,7121,438,3329,317,60,45,3269,318,2228,261,0,29,2228,261,2018,192,17,18,2001,192
0600000US0900337070,0900337070,"Hartford town, Hartford County, Connecticut",94158,1040,2700,299,91458,1102,44258,941,2501,288,41757,999,19153,896,399,143,18754,903,13949,659,609,150,13340,650,5986,420,461,139,5525,427,3294,292,539,121,2755,285,1876,255,493,124,1383,232,49900,845,199,90,49701,856,19510,648,63,39,19447,649,15861,589,108,76,15753,588,6441,411,28,23,6413,411,4508,321,0,29,4508,321,3580,287,0,29,3580,287
